Date,Open,High,Low,Close
4/9/09,1080.71,1085.24,1071.28,1080.47
4/13/09,1076.74,1097.36,1076.74,1091.63
4/14/09,1089.75,1091.82,1079.17,1083.42
4/15/09,1070.74,1077.12,1069.42,1074.11
4/16/09,1078.31,1081.34,1056.40,1064.27
4/17/09,1060.94,1063.00,1050.01,1052.93
4/20/09,1076.05,1101.07,1072.70,1098.59
4/21/09,1096.70,1106.84,1089.03,1090.76
4/22/09,1095.79,1108.08,1095.67,1106.59
4/23/09,1093.36,1112.20,1092.13,1108.41
4/24/09,1102.08,1104.74,1096.64,1104.98
4/27/09,1121.02,1121.02,1106.73,1108.07
4/28/09,1097.73,1097.73,1086.02,1089.31
4/29/09,1071.63,1086.56,1068.87,1083.31
4/30/09,1072.22,1073.06,1052.05,1063.27
5/1/09,1047.77,1053.10,1044.80,1052.03
5/4/09,1038.94,1064.39,1038.94,1057.47
5/5/09,1061.44,1071.78,1059.68,1061.68
5/6/09,1050.96,1062.38,1050.96,1061.68
5/7/09,1078.83,1080.70,1064.80,1070.18
5/8/09,1046.81,1052.80,1046.81,1051.76
5/11/09,1065.59,1067.10,1065.59,1065.47
5/12/09,1067.90,1073.48,1065.11,1073.71
5/13/09,1082.03,1091.07,1081.09,1086.14
5/14/09,1080.33,1080.33,1080.33,1086.65
5/15/09,1089.88,1097.42,1089.88,1096.60
5/18/09,1081.56,1085.40,1068.88,1071.90
5/19/09,1070.62,1070.62,1070.62,1070.62
5/20/09,1065.56,1074.12,1064.41,1070.12
5/21/09,1066.43,1071.88,1064.50,1079.72
5/22/09,1071.44,1073.45,1071.44,1073.23
5/26/09,1063.73,1064.29,1053.69,1063.85
5/27/09,1062.60,1072.47,1062.60,1069.33
5/28/09,1057.29,1075.46,1052.16,1071.67
5/29/09,1046.25,1069.37,1046.03,1067.63
6/1/09,1067.86,1078.01,1061.53,1067.64
6/2/09,1054.41,1067.18,1049.11,1063.61
6/3/09,1091.75,1101.31,1068.73,1072.62
6/4/09,1058.20,1078.41,1055.24,1077.53
6/5/09,1098.38,1100.17,1067.71,1076.33
6/8/09,1069.79,1072.14,1054.61,1062.76
6/9/09,1053.47,1064.74,1047.84,1054.03
6/10/09,1060.22,1071.31,1052.68,1058.00
6/11/09,1052.85,1061.23,1040.49,1060.57
6/12/09,1069.60,1070.27,1047.11,1051.92
6/15/09,1062.73,1062.73,1050.16,1049.60
6/16/09,1056.76,1065.50,1056.76,1057.55
6/17/09,1053.85,1060.98,1052.61,1058.26
6/18/09,1066.82,1066.82,1054.36,1057.76
6/19/09,1058.25,1063.36,1058.25,1062.34
6/22/09,1068.13,1069.52,1061.20,1063.05
6/23/09,1060.75,1066.05,1055.46,1063.05
6/24/09,1070.45,1090.46,1067.55,1080.51
6/25/09,1076.56,1083.14,1076.56,1084.41
6/26/09,1089.56,1090.36,1082.99,1084.26
6/29/09,1087.94,1090.60,1081.69,1088.17
6/30/09,1094.65,1097.56,1075.93,1078.02
7/1/09,1067.79,1084.91,1066.30,1081.24
7/2/09,1095.42,1095.53,1078.19,1082.96
7/6/09,1076.88,1082.68,1067.02,1071.43
7/7/09,1078.16,1086.91,1074.66,1083.53
7/8/09,1073.67,1073.67,1057.33,1061.30
7/9/09,1053.90,1065.75,1053.90,1064.01
7/10/09,1059.94,1063.20,1057.38,1061.69
